OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroidaceae bacterium	OTU_137074	1725	13276	971	16821	1823	480	8898	874	2124	2606	12710	5112	9130	10294	3809	19023	493	13372	1865	33135	9675	2947	16974	1800	1780	9372	1832	22482	515	14809	211	25382	13936	4079	2267	337	244	33002	17478	2670	2593	947	406	2421	6853	22823	11468	4856	2617	791	628	2157	9100	1664	4628	3709	12826	1904	741	3547	794	3455	2210	2489	4008	2466	2261	2377	9102	3720	3503	11094	2024	2275	835	3542	2931	8440	9952	569	5437	21691	585	319	1394	4544	2211	3895	4116	4346	858	9147	6979	2155	1962	2661	10608	2248	784	3985	5224	1415	3171	34097	12091	1099	4462	299	1177	18843	20635	1930	1445	4917	35847	6351	1515	8803	3768	18010	16917	401	504	2	3	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroides sp.	OTU_26642	5	149	0	258	7	2	97	10	7	4	27	25	0	23	2	5	0	2	0	14	21	6	47	8	3	63	3	130	0	11	0	8	60	14	1	2	5	6	26	3	4	4	0	34	9	34	20	4	70	0	0	24	19	1	23	26	3	1	0	3	0	8	5	1	80	2	2	86	25	9	11	16	80	4	23	71	49	13	13	1	6	21	1	0	11	9	8	35	30	3	0	1	30	2	9	3	4	2	3	16	7	6	8	8	56	1	15	0	2	125	188	2	8	13	15	54	3	25	111	119	21	20	87	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured Bacteroidetes bacterium	OTU_11	438	269	52	187	94	128	303	121	556	140	267	1212	124	752	1022	358	15	138	136	591	512	603	272	293	822	131	198	272	26	1120	6	1526	242	974	243	24	176	2749	490	95	1485	87	81	1376	450	304	4073	555	2035	191	151	544	274	293	553	680	2874	146	460	427	909	426	87	185	671	511	459	541	231	768	394	266	1415	178	772	461	106	3431	4031	57	227	1094	24	11	1400	365	461	490	1622	392	39	288	321	99	2453	434	2928	152	41	303	247	147	125	326	408	77	262	42	86	356	265	75	125	307	627	284	130	150	114	270	683	285	33	1	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured organism	OTU_3964	135	257	55	728	19	111	499	42	18	58	25	21	7	13	332	222	8	51	24	36	123	15	16	73	33	10	19	263	5	181	2	22	7	12	90	31	39	26	18	47	61	16	28	320	281	5	3	24	352	17	55	118	48	21	323	373	12	26	62	39	460	201	23	27	462	127	33	685	22	19	35	15	341	50	73	382	24	6	113	7	112	62	15	1	384	90	14	409	325	46	9	20	498	17	184	30	9	27	57	55	2	42	27	233	10	3	53	37	28	8	13	8	15	19	357	424	18	4	319	18	59	76	209	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales RF16 group;uncultured bacterium;Other	OTU_134526	1	7	0	2	3	0	598	2	8	22	12	1	1	0	28	7	2	0	9	0	6	2	9	63	2	0	0	2	1	6	0	0	0	10	12	0	0	1	0	18	25	0	5	16	6	5	2	10	358	17	2	3	5	10	87	100	0	9	1	16	0	9	1	0	77	11	6	62	9	10	6	0	729	3	4	147	0	0	12	0	0	5	3	1	244	121	4	12	14	8	0	11	197	0	812	10	12	3	11	15	0	17	7	0	0	0	9	0	3	2	2	1	6	0	0	14	3	0	3	3	5	1	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales RF16 group;uncultured Parabacteroides sp.;Other	OTU_444	1	0	0	1	2	0	528	1	2	2	1	0	3	0	3	0	0	0	9	0	7	0	16	43	2	2	0	0	0	11	0	0	0	0	5	0	2	0	0	1	4	0	13	2	0	0	0	4	167	3	0	0	0	0	6	12	0	1	0	14	5	3	1	0	18	0	2	142	0	0	4	18	147	1	3	242	2	0	9	0	0	12	2	0	5	0	2	4	3	0	0	0	459	1	1142	2	0	0	0	0	0	0	5	1	0	3	19	3	0	10	2	3	1	0	0	89	2	0	0	30	1	0	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured bacterium;Other	OTU_7483	3	0	0	1	0	0	28	0	0	5	0	0	0	0	11	1	0	0	9	0	4	0	129	11	7	11	0	0	0	0	0	0	0	1	14	0	2	2	0	0	0	0	13	2	1	0	0	0	3	3	2	3	3	11	2	7	0	3	0	9	0	1	4	0	10	11	16	5	0	0	5	173	11	4	0	2	4	0	0	0	0	6	12	0	0	1	0	2	3	0	0	1	4	0	21	8	1	2	1	3	0	1	2	0	0	7	86	0	0	51	2	0	5	0	0	5	0	0	1	209	9	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;uncultured;uncultured bacterium	OTU_111843	7	2	1	5	2	0	1583	1	8	11	2	12	2	9	103	33	0	0	14	0	11	6	5	111	7	2	2	4	1	7	0	2	5	3	11	1	5	7	0	9	65	1	9	41	3	0	9	2	1011	16	1	14	2	5	218	238	2	2	2	5	8	3	10	0	174	4	3	123	5	3	4	4	2686	10	13	370	12	5	5	1	1	32	9	0	855	425	4	36	27	1	3	0	667	0	3178	3	5	0	1	1	0	1	7	0	1	0	3	0	0	2	1	2	0	4	0	50	2	0	6	8	4	5	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;COB P4-1 termite group;uncultured bacterium;Other	OTU_104858	162	14	1300	148	415	63	502	1037	1134	2848	72	78	92	84	324	48	34	41	787	63	1555	110	468	937	730	84	87	608	81	281	2	5	652	23	2169	31	1414	5	67	1580	439	1463	412	236	231	2433	39	318	804	159	197	182	46	591	228	746	4	623	68	1005	129	411	885	19	277	251	670	827	48	31	773	83	701	453	139	976	47	8	232	113	30	2195	554	12	263	69	490	429	827	8	92	102	293	61	369	863	0	20	17	599	20	8	1321	33	516	385	274	186	40	36	40	280	203	391	87	531	293	1768	59	20	69	158	19	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;COB P4-1 termite group;uncultured Bacteroidetes bacterium;Other	OTU_120550	17	0	33	1	31	3	61	30	141	122	2	11	13	3	83	0	2	0	83	5	48	4	25	71	67	3	0	17	1	48	0	4	6	1	134	2	52	0	1	63	40	59	33	100	5	66	0	37	38	16	13	18	5	25	4	60	0	14	2	63	5	43	61	0	11	129	57	42	3	0	65	12	53	41	6	107	5	0	29	17	1	333	31	0	40	24	41	24	91	0	5	1	19	8	20	40	0	3	6	43	1	1	106	0	7	27	28	18	10	12	5	18	33	38	0	35	11	25	0	0	9	19	0	0	0	0
