OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;uncultured organism	OTU_392	7	4	1	0	0	0	6	25	50	6	0	0	3	0	1	0	0	2	2	0	51	0	4	1	1	0	4	1	4	9	0	0	0	5	17	0	11	0	3	7	17	169	5	17	6	0	0	0	17	9	7	3	3	1	3	14	1	3	18	6	2	17	21	2	1	1	7	0	2	0	4	0	6	3	5	4	10	0	1	0	0	4	5	4	9	2	17	14	8	2	0	0	1	1	9	3	0	1	0	0	0	0	1	0	0	2	1	1	6	2	1	0	6	5	0	2	4	0	0	6	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;uncultured proteobacterium	OTU_103170	0	55	15	37	17	0	13	6	2	30	12	180	7	15	60	8	0	8	37	12	14	13	18	36	0	4	23	37	0	102	0	2	17	17	7	4	3	4	21	68	5	55	278	63	42	1	4	12	25	0	1	28	150	5	2	29	7	15	51	6	1	0	105	4	3	129	3	4	3	10	14	2	4	57	5	52	4	0	6	4	22	177	23	58	26	39	0	37	24	5	1	1	10	0	5	12	15	6	0	0	3	4	7	1	19	2	5	0	21	10	13	5	30	103	2	9	8	45	51	3	1	13	0	0	0	0
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;uncultured;uncultured bacterium	OTU_67	14	162	149	140	6	981	26	54	181	54	349	1482	12	262	149	10	11	40	28	4	94	102	141	26	43	116	207	121	29	21	2	28	45	687	86	34	89	42	9	56	32	29	44	77	50	78	41	55	77	89	12	305	285	55	77	78	42	105	149	69	3790	46	11	9	27	146	53	28	254	211	100	14	22	325	192	24	71	34	20	5	10	48	75	83	86	15	117	130	52	132	8	61	14	0	51	40	24	204	16	10	9	123	48	3	106	27	35	8	49	190	194	13	63	51	4	39	76	136	282	125	20	22	45	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;Clostridiales bacterium oral taxon F32;Other;Other	OTU_32189	2	0	51	0	0	0	0	0	5	4	0	0	1	0	0	0	0	0	0	4	3	9	0	3	12	2	0	0	0	0	0	5	0	1	7	0	63	0	0	28	0	0	0	0	0	0	0	0	0	1	4	0	1	7	5	3	0	1	0	3	0	1	0	0	4	0	26	0	0	0	1	4	2	1	4	0	3	6	0	0	0	5	0	0	5	2	25	3	2	0	0	3	13	0	0	19	0	0	0	0	0	0	6	0	0	1	0	6	1	0	0	0	0	0	0	11	13	0	0	0	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured bacterium;Other;Other	OTU_410	184	59	338	71	64	54	461	201	490	494	198	208	79	186	80	63	340	10	174	63	519	129	145	212	288	290	842	39	176	127	0	106	64	746	303	63	436	8	131	399	48	323	141	124	227	52	2	112	159	174	60	387	35	185	309	216	5	146	313	124	48	142	150	105	205	87	123	145	112	142	165	58	137	449	125	226	310	25	64	45	101	190	117	47	223	39	318	376	107	23	48	130	304	16	199	138	34	324	26	99	25	617	312	5	15	132	66	36	134	48	102	56	123	183	6	393	103	146	211	136	53	192	60	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured Firmicutes bacterium;Other;Other	OTU_62307	14	2	0	2	12	3	33	8	33	26	5	2	10	11	2	0	1	0	10	0	41	9	36	29	14	2	11	2	9	13	0	0	0	10	5	3	81	0	3	64	6	11	27	10	41	0	3	2	12	11	1	36	0	10	12	23	0	15	24	38	12	5	45	25	12	5	20	21	6	4	25	0	4	6	3	20	10	0	4	0	2	6	27	0	48	3	2	21	14	8	6	0	28	0	6	13	0	15	4	0	0	46	10	0	0	2	9	2	11	38	19	0	13	9	0	34	25	1	4	3	2	6	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured rumen bacterium;Other;Other	OTU_334	25	0	27	2	11	123	15	0	37	41	1	0	91	1	3	0	76	13	31	0	91	3	24	25	6	7	147	9	3	5	0	0	0	1	18	6	19	0	18	46	17	4	2	4	39	2	0	2	20	15	5	7	0	12	66	19	0	27	44	13	98	17	6	15	27	0	31	7	0	0	26	4	0	34	9	24	16	0	0	14	2	40	4	0	20	0	6	36	9	0	7	0	20	12	18	20	0	1	3	29	0	11	46	0	3	29	2	1	25	7	1	20	12	53	0	29	22	6	0	32	1	23	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured bacterium;Other;Other	OTU_137	25	19	88	17	20	27	337	19	45	81	53	52	10	18	146	8	2	3	17	6	100	16	155	86	77	51	3	17	25	61	0	2	18	105	160	10	16	74	6	38	46	30	43	719	47	9	18	56	156	109	16	43	7	54	41	115	76	35	89	45	144	62	7	46	72	196	150	121	49	40	73	122	38	74	48	51	52	1	95	8	35	183	56	1	151	95	93	66	132	57	13	1	77	4	67	169	26	14	2	15	4	42	46	2	16	25	32	19	21	133	87	36	23	46	4	112	38	44	19	44	6	15	5	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured Clostridiales bacterium;Other;Other	OTU_346	0	4	0	2	3	0	26	0	0	6	1	4	13	0	69	3	8	0	11	2	1	0	14	50	11	50	0	2	0	30	0	0	14	2	15	0	0	6	0	11	15	0	16	85	71	15	2	49	57	0	0	0	2	3	5	91	0	1	3	1	1	18	0	13	72	84	11	96	0	0	2	113	24	7	1	53	0	0	71	8	15	73	1	0	26	57	0	3	59	10	3	0	41	5	37	17	1	11	2	10	0	15	29	1	9	19	4	0	10	20	19	26	6	7	0	14	0	276	0	5	2	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;uncultured Firmicutes bacterium;Other;Other	OTU_229	6	3	0	5	6	0	18	5	2	4	19	43	0	10	30	0	0	0	4	2	9	14	0	21	19	2	1	7	0	9	0	0	1	21	2	0	4	4	5	0	30	0	8	20	5	2	0	4	67	28	0	14	8	44	6	24	17	28	7	16	1	6	2	5	29	26	107	29	26	26	21	3	30	29	9	20	22	0	13	4	3	37	6	0	21	8	18	18	97	1	0	4	5	0	33	100	0	0	0	4	0	4	12	0	0	1	8	5	6	4	1	7	5	9	2	25	61	3	25	1	8	8	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus;uncultured Clostridiaceae bacterium	OTU_113	88	15	575	5	8	27	50	149	89	196	2	59	121	4	10	4	215	0	87	2	53	0	15	113	126	11	256	27	14	60	0	1	5	14	333	2	96	0	13	161	92	496	86	4	81	12	0	3	56	35	46	0	28	114	84	262	0	63	247	66	16	55	55	42	61	9	83	55	4	4	128	1	52	55	2	30	54	0	4	1	63	43	38	26	145	0	35	139	77	16	10	3	35	9	90	117	0	15	2	40	8	11	52	4	2	29	17	42	37	28	8	7	16	28	4	124	16	18	1	3	4	96	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;uncultured bacterium	OTU_6742	2	0	0	0	0	2	0	0	3	0	0	5	4	0	218	0	6	2	2	0	0	0	1	0	0	4	0	0	12	2	6	3	1	0	0	0	6	297	2	0	1	0	0	55	2	5	2	39	0	15	0	2	1	2	0	39	46	2	0	1	111	1	21	0	4	31	0	0	0	0	0	2	0	0	0	7	0	10	10	2	0	12	2	4	5	2	8	0	0	2	0	5	3	2	0	0	47	2	0	0	3	0	0	12	0	7	0	0	0	4	3	1	2	0	6	2	0	0	1	0	0	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis;uncultured bacterium	OTU_379	1	0	11	0	1	0	1	14	61	1	0	2	0	0	11	0	0	0	3	0	15	0	0	3	23	4	2	0	6	1	0	1	1	3	10	0	4	11	2	2	5	12	5	14	5	0	5	17	2	19	0	5	3	5	3	4	5	1	19	6	2	0	4	2	1	4	13	1	0	0	6	0	1	7	3	1	8	0	6	2	0	0	6	2	1	12	19	17	2	0	1	0	1	0	11	14	4	3	0	0	0	2	3	1	0	1	0	1	3	1	2	0	2	1	1	1	1	0	3	2	3	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;uncultured bacterium	OTU_126012	17	9	0	7	2	4	11	4	21	18	14	8	3	2	1	4	10	3	9	2	8	2	1	7	8	17	6	3	5	1	0	1	0	10	2	13	12	0	4	4	9	0	3	1	0	0	0	0	6	5	4	7	14	11	10	15	0	2	6	4	0	1	0	3	5	0	6	5	1	2	14	9	8	7	3	7	6	2	1	2	0	41	3	0	12	0	30	11	6	0	0	0	23	4	3	5	0	15	8	9	1	11	6	4	10	7	0	0	3	2	0	6	2	0	0	14	3	2	2	4	1	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;uncultured bacterium	OTU_87	8	6	1	5	3	3	27	23	10	29	17	3	1	2	4	41	3	7	2	159	10	4	94	8	10	19	9	0	2	4	0	7	1	11	14	1	27	3	2	10	11	23	2	0	1	0	1394	7	11	2	0	1	2	11	29	13	1	0	22	2	4	2	1	1	7	0	2	29	4	4	5	20	9	9	6	4	8	855	5	0	1	1	4	0	16	1	31	41	5	0	3	0	4	0	0	6	1234	38	0	4	0	8	12	3	5	0	4	1	2	1	10	1	0	5	0	13	1	3	10	47	0	10	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;uncultured bacterium	OTU_845	5	0	0	0	0	7	6	1	5	4	6	2	5	0	4	3	1	1	0	1	110	4	0	2	6	1	2	1	17	0	0	0	0	3	2	0	3	2	0	4	4	9	232	0	0	0	0	0	1	2	2	11	0	10	2	2	2	5	5	9	0	0	5	0	3	3	4	11	13	0	5	0	0	5	17	3	19	0	0	0	0	0	1	0	37	0	3	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	2	0	0	4	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured bacterium	OTU_108156	11	11	0	0	1	24	8	15	334	5	1	31	0	1	2	103	0	3	7	111	8	5	0	8	1	21	31	0	40	5	0	4	0	2	1	2	146	0	14	3	2	5	1	1	11	1	21	0	0	39	1	1	48	10	5	6	0	2	10	1	2	8	5	3	20	1	0	1	1	3	0	29	0	6	39	5	58	20	0	3	6	39	4	1	11	0	558	6	7	0	4	0	2	1	0	1	1	13	8	10	0	4	6	0	2	7	7	1	1	0	0	22	0	3	4	6	0	0	5	1	3	46	2	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;uncultured bacterium	OTU_462	13	0	0	0	25	12	10	0	0	1	0	0	4	0	8	4	87	3	47	0	0	0	0	0	5	0	320	0	0	14	0	0	0	0	0	0	82	0	9	0	0	0	1	32	3	0	0	0	0	0	0	0	0	2	18	19	0	6	1	4	0	0	72	10	24	7	28	15	1	0	0	4	0	10	0	4	0	0	1	3	6	84	24	0	3	9	0	26	13	0	16	0	3	0	0	38	0	0	0	17	0	0	131	6	0	18	46	0	12	0	0	2	45	2	0	22	5	0	0	0	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;uncultured bacterium	OTU_3281	0	5	0	2	0	14	4	1	261	19	1	17	0	3	0	73	0	0	3	64	3	1	0	4	0	7	10	4	11	0	0	1	0	0	4	0	154	0	13	10	0	1	1	0	2	0	9	0	0	30	2	0	33	0	4	0	0	0	0	0	0	4	0	0	2	0	0	12	0	0	0	22	0	0	28	0	40	4	0	0	18	43	0	0	1	0	598	1	0	0	0	3	0	0	0	0	0	10	1	10	0	2	0	0	0	5	1	0	0	0	0	23	0	0	0	0	1	0	1	0	4	17	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Incertae Sedis;uncultured bacterium	OTU_10368	3	0	0	1	0	0	2	11	3	0	18	0	12	4	12	0	2	2	0	1	11	29	0	0	0	2	5	14	0	0	0	0	0	5	0	0	7	0	3	0	0	0	0	4	0	3	0	3	0	0	0	0	0	0	2	6	0	0	0	2	0	0	0	0	0	16	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	2	7	0	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	14	12	0	3	0	0	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;bacterium	OTU_7873	1	0	0	3	2	4	1	144	0	3	80	0	53	23	0	0	4	0	2	1	0	30	0	3	15	0	2	21	0	0	0	0	2	10	4	0	0	0	0	0	3	2	0	0	0	3	0	0	15	4	0	17	0	4	3	0	0	0	1	4	5	0	3	0	0	0	8	15	18	3	10	0	0	0	0	0	8	0	0	0	0	3	0	0	2	0	10	1	4	0	0	0	0	0	1	16	0	0	3	6	0	2	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;bacterium PFB1-13	OTU_3362	242	1	10	6	50	63	67	4	7	80	0	0	53	2	106	2	24	173	26	4	192	0	1	71	28	5	116	6	14	64	0	1	0	0	24	5	25	0	61	109	34	0	54	13	42	4	0	4	133	2	37	7	2	85	300	102	0	22	319	80	8	23	100	85	79	82	15	39	0	0	30	3	18	129	5	85	8	0	0	13	11	104	44	1	93	7	2	390	76	3	96	0	58	10	103	4	0	4	10	70	4	3	187	42	4	8	51	11	118	2	8	21	34	110	2	206	28	0	2	0	2	9	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;bacterium PH1-22	OTU_103202	2	5	0	7	0	15	5	2	0	2	58	20	3	48	12	0	0	27	2	0	23	12	0	2	6	6	0	8	0	0	0	0	1	1	9	0	0	0	0	0	5	2	27	0	4	0	0	0	11	2	0	20	3	15	1	5	0	13	28	8	7	0	2	3	20	1	23	7	8	1	8	6	0	6	35	7	3	0	0	0	1	6	7	0	1	0	7	1	10	1	3	1	1	0	3	7	0	3	0	3	0	3	16	5	4	2	5	0	1	6	1	1	7	0	2	3	14	3	15	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Clostridium sp. 12(A)	OTU_103436	6	0	5	5	1	0	0	0	0	2	2	0	4	8	2	1	15	0	18	0	0	15	0	0	6	22	7	13	0	0	0	0	0	4	1	3	27	0	0	1	5	0	0	0	0	0	0	2	6	0	0	11	0	12	0	0	0	3	0	4	0	2	2	0	1	0	0	6	2	3	6	1	1	0	0	0	9	0	0	0	0	29	0	0	1	0	0	3	5	0	0	0	0	0	4	6	0	0	0	12	0	0	0	10	6	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Clostridium sp. ASBs410	OTU_20423	1	0	0	2	0	0	66	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	24	0	0	5241	3	2	0	23	0	0	9	0	0	221	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	6	0	0	0	12	0	0	0	0	0	0	0	0	163	0	0	308	0	0	0	189	0	0	0	6	1	0	0	0	0	0	0	0	0	2	0	0	11	0	0	0	170	0	2	0	0	6	49	2	0	15	1	0	1969	0	2	0	0	0	1	0	0	0	0	48	0	0	0	7	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Ruminococcus sp. Pei041	OTU_13488	20	0	31	0	2	1	0	1	5	21	0	1	0	0	2	1	0	1	1	0	43	0	0	4	0	0	14	0	3	4	0	0	0	0	10	2	16	0	3	12	0	1	1	0	0	0	0	0	1	7	0	0	0	25	0	6	0	1	26	7	0	7	0	0	5	0	2	1	0	0	15	1	0	6	13	0	10	0	0	0	0	1	2	0	0	0	3	5	3	0	2	0	4	0	0	0	0	0	0	2	0	2	9	0	0	1	1	2	0	0	0	1	0	2	0	4	7	0	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;uncultured bacterium	OTU_120037	12	30	4	19	15	26	54	88	10	24	76	8	8	64	5	7	2	2	16	9	16	132	15	27	18	31	25	9	88	10	0	27	1	305	15	0	64	1	21	25	4	61	32	8	5	0	17	3	10	4	2	29	10	29	31	5	0	7	23	31	5	6	17	6	9	3	19	5	103	135	10	7	16	81	42	14	153	30	1	1	2	20	20	4	17	1	38	19	15	1	5	0	23	0	8	12	13	6	0	9	0	17	64	0	22	10	34	0	0	7	20	3	40	34	1	12	4	0	171	9	198	61	8	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;uncultured Firmicutes bacterium	OTU_874	32	3	13	0	4	25	20	38	6	68	99	18	15	10	10	3	12	4	32	2	23	0	0	9	45	4	9	0	9	4	0	23	0	21	49	0	73	0	6	54	42	19	17	5	16	0	0	2	85	29	33	7	1	41	52	14	0	11	47	53	1	10	11	18	11	8	13	7	18	11	59	1	30	117	0	10	2	0	2	4	7	49	8	6	18	1	7	38	12	0	36	1	7	3	20	14	0	0	2	19	0	1	88	3	0	11	10	8	9	2	0	8	3	10	0	27	39	0	0	0	0	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;uncultured Lachnospiraceae bacterium	OTU_30	608	75	202	80	194	316	232	212	70	267	214	217	205	211	85	9	200	371	84	4	627	122	24	225	203	42	442	94	35	157	0	48	16	101	142	11	134	3	251	318	77	38	376	14	157	13	38	16	126	27	120	159	11	513	790	152	0	181	776	372	73	64	354	246	468	62	192	168	79	81	240	23	84	579	133	374	77	35	0	29	53	312	222	7	223	43	69	1041	366	12	278	41	113	37	117	63	3	16	12	184	27	29	593	100	13	43	171	14	344	11	41	48	127	495	7	528	231	12	23	15	3	40	22	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;uncultured organism	OTU_24008	11	3	5	3	5	8	6	127	5	3	30	9	15	23	1	1	35	0	12	0	11	34	1	0	8	231	39	17	1	2	0	2	1	6	6	23	7	0	4	4	4	5	2	4	5	6	0	0	10	11	1	9	0	13	5	3	0	0	8	6	1	4	7	3	9	0	11	14	3	6	10	1	2	9	2	2	13	0	0	2	0	36	14	0	15	0	19	9	4	0	2	0	3	4	3	14	0	11	5	14	0	21	18	0	17	6	2	0	2	0	0	0	8	13	0	8	2	2	0	0	4	3	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group;uncultured bacterium	OTU_78387	23	15	11	629	12	21	946	21	18	29	3824	114	11	1995	4	1	1	0	37	2	54	5835	0	144	4	2	106	96	5	38	0	1	9	19041	20	11	1175	0	2	26	12	1	41	1	2	7	1	1	73	3	9	69	8	16	33	20	0	7	64	7	12	28	9	15	21	7	9	51	5965	8731	29	0	15	24	5	122	76	2	1	3	6	132	8	3	31	1	5	47	59	1	2	4	355	1	18	12	1	4	6	18	47	22	52	0	36	18	8	5	7	2	1	3	9	2	4	47	4	25	8955	232	12221	2286	101	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group;uncultured bacterium	OTU_22516	36	67	13	69	0	149	36	420	1995	3	15	86	113	23	7	1025	548	6	92	843	45	10	2	16	26	206	218	71	212	11	0	6	19	2	6	67	1439	0	123	10	14	33	1	5	29	10	244	0	17	348	6	10	482	25	19	25	0	23	30	29	6	6	12	13	40	6	65	52	3	10	29	201	11	37	406	12	702	397	0	5	46	338	41	1	36	0	4754	16	15	3	1	33	19	11	6	61	3	169	78	51	0	40	65	0	5	26	75	7	27	1	7	186	55	59	3	13	10	10	0	4	32	350	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group;uncultured bacterium	OTU_6399	11	3	30	0	0	29	9	228	34	13	28	1	2	9	12	32	3	12	6	206	33	24	4	10	6	38	45	4	6	0	0	1	2	34	15	18	24	1	9	16	4	199	9	22	12	3	18	8	23	3	1	24	1	1	9	45	1	7	39	3	40	5	6	8	17	11	4	19	27	22	12	9	4	22	3	10	23	17	8	4	20	22	8	1	45	0	48	22	5	3	3	0	4	0	9	11	0	17	5	5	0	6	13	3	53	4	3	5	1	4	10	5	1	15	0	22	0	3	10	5	16	5	1	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group;uncultured Firmicutes bacterium	OTU_125830	13	0	40	0	0	0	17	30	0	18	0	0	1	0	0	0	0	0	11	2	36	0	0	2	14	0	54	0	1	5	0	0	0	0	19	2	1	0	12	12	61	1	0	0	3	0	0	0	23	0	1	0	0	16	20	37	0	7	24	39	0	3	4	9	149	0	36	47	0	0	27	0	27	36	12	9	17	0	0	2	3	34	11	0	33	0	0	72	77	0	7	0	14	0	46	107	0	0	4	10	0	0	22	0	0	2	2	0	15	0	0	11	13	9	0	19	5	0	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured bacterium	OTU_93	33	62	169	99	11	30	805	67	106	591	234	121	109	254	6	21	212	7	95	30	36	155	8	67	62	396	119	102	7	5	0	7	13	94	112	6589	164	7	28	221	15	13	11	6	16	10	1005	1	34	38	20	122	117	73	35	42	1	39	61	39	18	29	18	9	48	11	42	59	123	52	78	15	18	23	24	27	72	117	0	5	5	136	47	3	57	2	153	50	34	3	2	9	41	2	13	45	15	812	899	47	4	371	47	31	158	39	35	9	5	1	8	8	15	24	5	59	28	2	47	10	26	17	2	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;uncultured bacterium	OTU_88253	2	0	0	4	0	1	10	14	108	14	23	19	1	12	0	4	3	0	0	32	3	12	5	7	1	26	9	2	7	3	0	3	4	40	0	1	3	0	0	4	1	10	1	13	0	0	2	0	9	0	0	0	5	1	7	6	0	3	1	0	0	0	1	0	3	5	1	2	15	50	5	15	3	0	4	1	4	1	5	0	1	22	0	3	7	0	87	5	2	1	0	0	6	0	8	0	2	6	3	1	1	7	1	0	96	4	1	0	0	20	22	25	0	0	0	3	0	10	10	10	15	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;uncultured bacterium	OTU_23388	11	10	1	17	11	47	50	38	85	38	27	62	8	9	26	15	4	12	29	19	19	40	27	22	23	12	9	19	5	33	1	39	11	50	31	1	26	33	9	14	31	75	19	22	14	7	199	10	52	49	6	41	42	28	26	36	42	3	34	5	31	8	10	23	23	31	11	17	14	30	16	27	43	58	19	21	30	150	23	1	4	45	10	1	24	10	116	39	24	10	7	3	9	7	48	29	129	16	6	25	6	18	51	5	9	3	13	6	10	22	15	16	20	15	7	37	11	14	31	16	9	15	2	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008;uncultured bacterium	OTU_1220	23	40	17	22	3	17	51	31	15	25	93	62	16	53	7	9	12	4	12	12	21	79	20	15	36	129	155	10	5	6	0	0	4	270	12	16	48	1	8	12	14	14	10	4	5	0	1	0	4	1	5	24	28	27	24	17	0	6	13	58	15	1	9	12	25	2	10	48	92	155	25	16	3	17	5	15	10	0	1	0	6	28	7	1	10	4	15	45	19	3	9	5	40	4	11	15	0	11	6	20	8	11	37	1	89	3	16	1	13	8	5	7	0	2	0	27	8	3	182	31	78	51	11	3	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-009;uncultured rumen bacterium	OTU_35	20	53	2	42	0	30	21	111	632	10	21	33	18	12	0	268	146	2	51	212	14	19	0	18	124	67	110	21	42	1	0	2	0	23	3	0	384	0	46	9	4	31	13	1	6	0	149	0	1	78	2	56	173	220	10	88	0	6	12	81	3	9	5	1	41	0	245	242	9	6	108	44	3	28	173	34	160	347	0	9	11	138	4	1	131	0	1218	7	3	0	1	6	74	5	0	197	0	102	21	81	0	10	42	0	1	35	21	6	1	0	2	57	10	75	5	21	27	0	13	1	11	78	1	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010;uncultured bacterium	OTU_260	96	11	14	14	9	232	49	336	23	88	20	13	197	0	1	5	170	80	93	1	170	20	0	58	51	31	118	28	15	25	0	0	24	19	52	13	56	0	17	37	40	34	15	0	7	22	0	6	37	22	58	4	13	49	61	52	0	5	53	65	44	34	24	66	35	6	22	71	5	6	44	23	27	53	3	66	20	1	0	24	45	153	28	0	23	4	5	139	50	2	4	2	63	0	23	7	0	20	16	123	3	11	148	34	13	51	17	14	33	3	8	62	27	39	0	29	43	4	3	2	4	12	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Robinsoniella;uncultured bacterium	OTU_136419	2	7	32	7	11	30	8	43	6	29	20	34	7	12	0	7	28	1	6	2	8	4	1	11	19	0	16	14	9	0	0	0	0	5	32	3	35	0	0	11	0	5	6	0	9	8	0	0	0	6	0	19	0	34	8	3	0	9	2	10	10	10	3	4	10	0	5	6	17	2	20	0	0	12	0	11	2	0	1	0	4	2	0	0	4	0	10	15	6	0	22	5	0	0	0	3	0	0	0	6	4	0	4	0	0	5	0	0	10	0	0	0	1	3	0	1	4	2	0	0	3	21	0	0	0	0
